Round,Date,Day,Time,GameTimePK,Statement
3,11/05/2019,Sat,19:00,r3_sat_20190511_1900,"r3_sat_20190511_1900 = GameTime(round= 3, when=datetime(year=2019, month=5, day=11, hour=19, minute=0))"
3,12/05/2019,Sun,08:30,r3_sun_20190512_0830,"r3_sun_20190512_0830 = GameTime(round= 3, when=datetime(year=2019, month=5, day=12, hour=8, minute=30))"
3,12/05/2019,Sun,10:00,r3_sun_20190512_1000,"r3_sun_20190512_1000 = GameTime(round= 3, when=datetime(year=2019, month=5, day=12, hour=10, minute=0))"
3,12/05/2019,Sun,11:30,r3_sun_20190512_1130,"r3_sun_20190512_1130 = GameTime(round= 3, when=datetime(year=2019, month=5, day=12, hour=11, minute=30))"
3,12/05/2019,Sun,13:00,r3_sun_20190512_1300,"r3_sun_20190512_1300 = GameTime(round= 3, when=datetime(year=2019, month=5, day=12, hour=13, minute=0))"
3,12/05/2019,Sun,15:00,r3_sun_20190512_1500,"r3_sun_20190512_1500 = GameTime(round= 3, when=datetime(year=2019, month=5, day=12, hour=15, minute=0))"
4,17/05/2019,Fri,18:00,r4_fri_20190517_1800,"r4_fri_20190517_1800 = GameTime(round= 4, when=datetime(year=2019, month=5, day=17, hour=18, minute=0))"
4,17/05/2019,Fri,19:30,r4_fri_20190517_1930,"r4_fri_20190517_1930 = GameTime(round= 4, when=datetime(year=2019, month=5, day=17, hour=19, minute=30))"
4,18/05/2019,Sat,08:30,r4_sat_20190518_0830,"r4_sat_20190518_0830 = GameTime(round= 4, when=datetime(year=2019, month=5, day=18, hour=8, minute=30))"
4,18/05/2019,Sat,10:00,r4_sat_20190518_1000,"r4_sat_20190518_1000 = GameTime(round= 4, when=datetime(year=2019, month=5, day=18, hour=10, minute=0))"
4,18/05/2019,Sat,11:30,r4_sat_20190518_1130,"r4_sat_20190518_1130 = GameTime(round= 4, when=datetime(year=2019, month=5, day=18, hour=11, minute=30))"
4,18/05/2019,Sat,13:00,r4_sat_20190518_1300,"r4_sat_20190518_1300 = GameTime(round= 4, when=datetime(year=2019, month=5, day=18, hour=13, minute=0))"
4,18/05/2019,Sat,15:00,r4_sat_20190518_1500,"r4_sat_20190518_1500 = GameTime(round= 4, when=datetime(year=2019, month=5, day=18, hour=15, minute=0))"
4,18/05/2019,Sat,17:00,r4_sat_20190518_1700,"r4_sat_20190518_1700 = GameTime(round= 4, when=datetime(year=2019, month=5, day=18, hour=17, minute=0))"
4,18/05/2019,Sat,19:00,r4_sat_20190518_1900,"r4_sat_20190518_1900 = GameTime(round= 4, when=datetime(year=2019, month=5, day=18, hour=19, minute=0))"
4,19/05/2019,Sun,08:30,r4_sun_20190519_0830,"r4_sun_20190519_0830 = GameTime(round= 4, when=datetime(year=2019, month=5, day=19, hour=8, minute=30))"
4,19/05/2019,Sun,10:00,r4_sun_20190519_1000,"r4_sun_20190519_1000 = GameTime(round= 4, when=datetime(year=2019, month=5, day=19, hour=10, minute=0))"
